date,neutral,strong_negative,strong_positive,weak_negative,weak_positive,sentiment_index,sentiment_std,total_comments,strong_positive_ratio,weak_positive_ratio,neutral_ratio,weak_negative_ratio,strong_negative_ratio,sentiment_index_smooth
2025-03-30,1,0,1,0,0,1.0,0.5656854249492381,2,0.5,0.0,0.5,0.0,0.0,0.8
2025-03-31,2,0,0,0,3,0.6,0.260768096208106,5,0.0,0.6,0.4,0.0,0.0,0.7520833333333333
2025-04-01,22,0,4,2,36,0.65625,0.28556543741779933,64,0.0625,0.5625,0.34375,0.03125,0.0,0.5298611111111111
2025-04-02,11,0,1,3,9,0.3333333333333333,0.30455479505075245,24,0.041666666666666664,0.375,0.4583333333333333,0.125,0.0,0.5520833333333334
2025-04-03,1,0,0,0,2,0.6666666666666666,0.2,3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.5408805031446541
2025-04-04,17,0,5,4,27,0.6226415094339622,0.3106713550624091,53,0.09433962264150944,0.5094339622641509,0.32075471698113206,0.07547169811320754,0.0,0.604769392033543
2025-04-05,21,0,2,0,17,0.525,0.24045896286167587,40,0.05,0.425,0.525,0.0,0.0,0.5862508735150245
2025-04-06,9,0,2,0,7,0.6111111111111112,0.2784175638663643,18,0.1111111111111111,0.3888888888888889,0.5,0.0,0.0,0.5818287037037037
2025-04-07,29,0,6,1,28,0.609375,0.3075762907039075,64,0.09375,0.4375,0.453125,0.015625,0.0,0.649252946127946
2025-04-08,10,0,1,0,22,0.7272727272727273,0.2399494896342928,33,0.030303030303030304,0.6666666666666666,0.30303030303030304,0.0,0.0,0.6899936868686868
2025-04-09,7,0,3,0,5,0.7333333333333333,0.3534860406754147,15,0.2,0.3333333333333333,0.4666666666666667,0.0,0.0,0.6447634237107921
2025-04-10,20,0,4,2,12,0.47368421052631576,0.31595775506734713,38,0.10526315789473684,0.3157894736842105,0.5263157894736842,0.05263157894736842,0.0,0.6654970760233917
2025-04-11,5,0,5,2,7,0.7894736842105263,0.4285157301595264,19,0.2631578947368421,0.3684210526315789,0.2631578947368421,0.10526315789473684,0.0,0.598830409356725
2025-04-12,7,0,0,0,8,0.5333333333333333,0.15976172734359606,15,0.0,0.5333333333333333,0.4666666666666667,0.0,0.0,0.7307907449783878
2025-04-13,5,0,2,0,16,0.8695652173913043,0.2670287397005928,23,0.08695652173913043,0.6956521739130435,0.21739130434782608,0.0,0.0,0.6191480017566974
2025-04-14,12,0,0,0,10,0.45454545454545453,0.18702501163843027,22,0.0,0.45454545454545453,0.5454545454545454,0.0,0.0,0.5663702239789196
2025-04-15,3,0,0,1,4,0.375,0.21213203435596426,8,0.0,0.5,0.375,0.125,0.0,0.4669913419913419
2025-04-16,11,0,1,1,15,0.5714285714285714,0.30272134321882826,28,0.03571428571428571,0.5357142857142857,0.39285714285714285,0.03571428571428571,0.0,0.38214285714285706
2025-04-17,4,0,0,0,1,0.2,0.0894427190999916,5,0.0,0.2,0.8,0.0,0.0,0.45012531328320793
2025-04-18,9,0,1,0,9,0.5789473684210527,0.3141869670950685,19,0.05263157894736842,0.47368421052631576,0.47368421052631576,0.0,0.0,0.3365721997300944
2025-04-19,22,1,1,3,12,0.23076923076923078,0.2966297418983428,39,0.02564102564102564,0.3076923076923077,0.5641025641025641,0.07692307692307693,0.02564102564102564,0.4157388663967611
2025-04-20,14,0,0,2,16,0.4375,0.21468281178850665,32,0.0,0.5,0.4375,0.0625,0.0,0.42788461538461536
2025-04-21,5,0,0,0,8,0.6153846153846154,0.25012817227194256,13,0.0,0.6153846153846154,0.38461538461538464,0.0,0.0,0.5041146916146916
2025-04-22,18,0,0,1,18,0.4594594594594595,0.2101050788156825,37,0.0,0.4864864864864865,0.4864864864864865,0.02702702702702703,0.0,0.5249480249480248
2025-04-23,8,0,0,0,8,0.5,0.21756225162774293,16,0.0,0.5,0.5,0.0,0.0,0.2827827827827827
2025-04-24,7,1,0,0,1,-0.1111111111111111,0.348010216963685,9,0.0,0.1111111111111111,0.7777777777777778,0.0,0.1111111111111111,0.22719060523938564
2025-04-25,17,1,1,5,17,0.2926829268292683,0.29991868816763506,41,0.024390243902439025,0.4146341463414634,0.4146341463414634,0.12195121951219512,0.024390243902439025,0.132987706688661
2025-04-26,9,1,0,3,10,0.21739130434782608,0.3130873926158953,23,0.0,0.43478260869565216,0.391304347826087,0.13043478260869565,0.043478260869565216,0.5033580770590314
2025-04-27,1,0,1,0,3,1.0,0.30331501776206204,5,0.2,0.6,0.2,0.0,0.0,0.5365160556976413
2025-04-28,28,0,1,2,20,0.39215686274509803,0.20465178460296035,51,0.0196078431372549,0.39215686274509803,0.5490196078431373,0.0392156862745098,0.0,0.6266539135979594
2025-04-29,17,0,2,3,19,0.4878048780487805,0.280069677741529,41,0.04878048780487805,0.4634146341463415,0.4146341463414634,0.07317073170731707,0.0,0.40443169137573715
2025-04-30,4,0,0,0,2,0.3333333333333333,0.16733200530681513,6,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.4297411059216974
2025-05-01,26,0,1,0,20,0.46808510638297873,0.17900950625665046,47,0.02127659574468085,0.425531914893617,0.5531914893617021,0.0,0.0,0.45632866909462644
2025-05-02,17,0,1,0,19,0.5675675675675675,0.2007493469486272,37,0.02702702702702703,0.5135135135135135,0.4594594594594595,0.0,0.0,0.5710240095964185
2025-05-03,9,0,1,1,20,0.6774193548387096,0.21592511645007514,31,0.03225806451612903,0.6451612903225806,0.2903225806451613,0.03225806451612903,0.0,0.6038845296909813
2025-05-04,14,0,3,1,12,0.5666666666666667,0.3139661011059604,30,0.1,0.4,0.4666666666666667,0.03333333333333333,0.0,0.6369175627240141
2025-05-05,9,0,2,0,10,0.6666666666666666,0.27568097504180444,21,0.09523809523809523,0.47619047619047616,0.42857142857142855,0.0,0.0,0.6040935672514619
2025-05-06,7,0,1,1,10,0.5789473684210527,0.2740213847462376,19,0.05263157894736842,0.5263157894736842,0.3684210526315789,0.05263157894736842,0.0,0.574179037336932
2025-05-07,32,0,4,3,26,0.47692307692307695,0.27952569718116327,65,0.06153846153846154,0.4,0.49230769230769234,0.046153846153846156,0.0,0.46006492322281783
2025-05-08,17,0,2,5,13,0.32432432432432434,0.2851689347059411,37,0.05405405405405406,0.35135135135135137,0.4594594594594595,0.13513513513513514,0.0,0.5633787633787634
2025-05-09,1,0,0,0,8,0.8888888888888888,0.1,9,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.5565783174478826
2025-05-10,18,1,2,3,22,0.45652173913043476,0.3271897616011515,46,0.043478260869565216,0.4782608695652174,0.391304347826087,0.06521739130434782,0.021739130434782608,0.7024384633080283
2025-05-11,5,0,0,0,16,0.7619047619047619,0.1841324574993825,21,0.0,0.7619047619047619,0.23809523809523808,0.0,0.0,0.6283643892339543
2025-05-12,3,0,0,0,6,0.6666666666666666,0.1,9,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6711590296495955
2025-05-13,19,0,3,3,28,0.5849056603773585,0.26613396236036,53,0.05660377358490566,0.5283018867924528,0.3584905660377358,0.05660377358490566,0.0,0.5623520660039222
2025-05-14,29,0,2,4,27,0.43548387096774194,0.2906620026568174,62,0.03225806451612903,0.43548387096774194,0.46774193548387094,0.06451612903225806,0.0,0.46916210184621615
2025-05-15,16,0,1,2,12,0.3870967741935484,0.2404297228150114,31,0.03225806451612903,0.3870967741935484,0.5161290322580645,0.06451612903225806,0.0,0.44086021505376327
2025-05-16,34,0,3,3,34,0.5,0.23953861611778865,74,0.04054054054054054,0.4594594594594595,0.4594594594594595,0.04054054054054054,0.0,0.3998655913978493
2025-05-17,22,0,0,0,10,0.3125,0.13304740847993174,32,0.0,0.3125,0.6875,0.0,0.0,0.46130952380952367
2025-05-18,4,0,1,0,2,0.5714285714285714,0.3651483716701107,7,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,0.0,0.4562590187590186
2025-05-19,26,1,3,4,32,0.48484848484848486,0.3036376198625661,66,0.045454545454545456,0.48484848484848486,0.3939393939393939,0.06060606060606061,0.015151515151515152,0.4834054834054832
2025-05-20,19,0,1,1,12,0.3939393939393939,0.22879791268384608,33,0.030303030303030304,0.36363636363636365,0.5757575757575758,0.030303030303030304,0.0,0.5236985236985235
2025-05-21,6,0,2,0,5,0.6923076923076923,0.37003118371709826,13,0.15384615384615385,0.38461538461538464,0.46153846153846156,0.0,0.0,0.55011655011655
2025-05-22,17,0,2,1,19,0.5641025641025641,0.22728818497304273,39,0.05128205128205128,0.48717948717948717,0.4358974358974359,0.02564102564102564,0.0,0.6688034188034186
2025-05-23,8,0,4,1,11,0.75,0.3583375463183412,24,0.16666666666666666,0.4583333333333333,0.3333333333333333,0.041666666666666664,0.0,0.6380341880341879
2025-05-24,0,0,0,1,4,0.6,0.30331501776206204,5,0.0,0.8,0.0,0.2,0.0,0.672222222222222
2025-05-25,17,0,4,1,23,0.6666666666666666,0.2963072388551785,45,0.08888888888888889,0.5111111111111111,0.37777777777777777,0.022222222222222223,0.0,0.6337606837606836
2025-05-26,20,0,1,0,31,0.6346153846153846,0.22655529159750287,52,0.019230769230769232,0.5961538461538461,0.38461538461538464,0.0,0.0,0.6559829059829058
